   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.12666,             0.16598,             0.27602,              0.1755,             0.17615,           0.0089011,           0.0067795,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.079892,             0.35161,             0.73997,              20.623,             0.38914,             0.72404,              9.3735,          0.00030575,             0.91965,             0.80722,             0.78007,           0.0098831,             0.83561,                   3
             0.51269,             0.46667,             0.57073,             0.35578,             0.19103,           0.0085171,           0.0078186,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,           0.0032067,             0.28158,             0.83553,              40.284,             0.87038,             0.59813,              6.0655,          0.00047041,            0.075144,             0.84082,             0.40845,              0.6871,             0.79647,                   3
            0.020808,             0.66667,              0.1685,             0.09101,             0.17995,           0.0084951,            0.004422,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.073747,             0.23016,              0.1245,              16.496,             0.35748,             0.77452,              6.4872,          0.00044513,             0.90853,             0.46532,            0.096386,             0.35022,             0.78514,                   3
             0.17814,            0.066667,             0.25903,             0.17442,             0.17294,           0.0089305,           0.0039688,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,           0.0053395,             0.15297,             0.69102,              22.612,             0.18503,             0.85887,              4.7948,          0.00047595,             0.98019,             0.19097,            0.012138,             0.61167,             0.42101,                   3
             0.31375,             0.39852,             0.31458,             0.22273,             0.18199,           0.0079961,           0.0088921,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.083532,             0.11873,             0.29189,              36.209,             0.56869,             0.40199,              9.6518,          0.00099729,            0.060801,             0.76541,             0.73707,             0.52611,             0.32219,                   3
            0.049074,                 0.6,             0.17751,            0.027205,             0.20972,           0.0077169,           0.0033005,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.057705,             0.20665,             0.44602,              1.2898,            0.083522,             0.51001,              3.7373,           0.0001036,             0.65856,             0.69739,             0.65923,             0.25654,             0.36189,                   3
            0.012128,                 0.6,            0.064606,            0.022158,             0.17727,            0.012816,           0.0043064,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.024161,             0.42106,             0.53784,               42.55,             0.17177,             0.81979,              5.1124,          0.00023307,             0.60542,             0.67194,             0.15233,             0.43561,             0.40985,                   3
             0.42331,                 0.6,              0.5706,             0.29828,             0.18405,           0.0078776,           0.0080235,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.039297,             0.89542,             0.78279,              42.918,             0.62386,              0.5206,              6.3554,          0.00023993,             0.13675,             0.93953,             0.14363,             0.23004,             0.17457,                   3
             0.07881,             0.42946,             0.15716,             0.01688,              0.1972,            0.010238,           0.0079628,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.091342,            0.062707,             0.16882,              12.832,             0.79005,             0.27837,              8.8052,          0.00096125,            0.097481,             0.72538,            0.069548,             0.68137,             0.24851,                   3
            0.016461,             0.26667,            0.031631,           0.0072501,              0.1925,            0.011226,            0.011982,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.023036,              0.2927,             0.83801,              12.102,             0.41608,             0.58252,             0.13519,          0.00060487,             0.72328,             0.87583,             0.44635,             0.60425,             0.35667,                   3
